Week,credito hipotecario: (Colombia)
7/19/2015,64
7/26/2015,44
8/2/2015,57
8/9/2015,42
8/16/2015,61
8/23/2015,65
8/30/2015,54
9/6/2015,52
9/13/2015,46
9/20/2015,61
9/27/2015,45
10/4/2015,40
10/11/2015,51
10/18/2015,54
10/25/2015,27
11/1/2015,46
11/8/2015,60
11/15/2015,43
11/22/2015,32
11/29/2015,27
12/6/2015,41
12/13/2015,41
12/20/2015,34
12/27/2015,30
1/3/2016,54
1/10/2016,65
1/17/2016,69
1/24/2016,52
1/31/2016,38
2/7/2016,62
2/14/2016,52
2/21/2016,58
2/28/2016,52
3/6/2016,36
3/13/2016,38
3/20/2016,43
3/27/2016,40
4/3/2016,47
4/10/2016,44
4/17/2016,51
4/24/2016,36
5/1/2016,60
5/8/2016,33
5/15/2016,39
5/22/2016,56
5/29/2016,39
6/5/2016,51
6/12/2016,62
6/19/2016,50
6/26/2016,41
7/3/2016,38
7/10/2016,66
7/17/2016,41
7/24/2016,54
7/31/2016,56
8/7/2016,43
8/14/2016,51
8/21/2016,40
8/28/2016,53
9/4/2016,50
9/11/2016,58
9/18/2016,48
9/25/2016,63
10/2/2016,45
10/9/2016,48
10/16/2016,40
10/23/2016,48
10/30/2016,34
11/6/2016,50
11/13/2016,57
11/20/2016,50
11/27/2016,34
12/4/2016,35
12/11/2016,25
12/18/2016,39
12/25/2016,37
1/1/2017,36
1/8/2017,70
1/15/2017,67
1/22/2017,70
1/29/2017,77
2/5/2017,55
2/12/2017,60
2/19/2017,58
2/26/2017,52
3/5/2017,31
3/12/2017,47
3/19/2017,48
3/26/2017,52
4/2/2017,44
4/9/2017,48
4/16/2017,55
4/23/2017,59
4/30/2017,63
5/7/2017,46
5/14/2017,51
5/21/2017,45
5/28/2017,83
6/4/2017,68
6/11/2017,63
6/18/2017,58
6/25/2017,65
7/2/2017,52
7/9/2017,66
7/16/2017,68
7/23/2017,73
7/30/2017,68
8/6/2017,63
8/13/2017,57
8/20/2017,62
8/27/2017,80
9/3/2017,71
9/10/2017,44
9/17/2017,67
9/24/2017,56
10/1/2017,53
10/8/2017,37
10/15/2017,50
10/22/2017,66
10/29/2017,60
11/5/2017,41
11/12/2017,57
11/19/2017,54
11/26/2017,54
12/3/2017,25
12/10/2017,58
12/17/2017,49
12/24/2017,51
12/31/2017,47
1/7/2018,63
1/14/2018,70
1/21/2018,53
1/28/2018,68
2/4/2018,78
2/11/2018,67
2/18/2018,64
2/25/2018,74
3/4/2018,56
3/11/2018,48
3/18/2018,64
3/25/2018,41
4/1/2018,61
4/8/2018,63
4/15/2018,63
4/22/2018,52
4/29/2018,53
5/6/2018,51
5/13/2018,47
5/20/2018,59
5/27/2018,46
6/3/2018,42
6/10/2018,47
6/17/2018,43
6/24/2018,42
7/1/2018,64
7/8/2018,63
7/15/2018,64
7/22/2018,63
7/29/2018,62
8/5/2018,80
8/12/2018,68
8/19/2018,68
8/26/2018,74
9/2/2018,71
9/9/2018,56
9/16/2018,47
9/23/2018,55
9/30/2018,56
10/7/2018,65
10/14/2018,61
10/21/2018,43
10/28/2018,63
11/4/2018,71
11/11/2018,59
11/18/2018,62
11/25/2018,37
12/2/2018,52
12/9/2018,55
12/16/2018,40
12/23/2018,50
12/30/2018,48
1/6/2019,90
1/13/2019,97
1/20/2019,69
1/27/2019,63
2/3/2019,76
2/10/2019,72
2/17/2019,61
2/24/2019,61
3/3/2019,59
3/10/2019,85
3/17/2019,74
3/24/2019,63
3/31/2019,58
4/7/2019,66
4/14/2019,47
4/21/2019,74
4/28/2019,62
5/5/2019,59
5/12/2019,49
5/19/2019,51
5/26/2019,59
6/2/2019,66
6/9/2019,75
6/16/2019,49
6/23/2019,52
6/30/2019,57
7/7/2019,62
7/14/2019,71
7/21/2019,67
7/28/2019,58
8/4/2019,77
8/11/2019,68
8/18/2019,59
8/25/2019,62
9/1/2019,42
9/8/2019,68
9/15/2019,61
9/22/2019,69
9/29/2019,66
10/6/2019,73
10/13/2019,68
10/20/2019,70
10/27/2019,50
11/3/2019,65
11/10/2019,72
11/17/2019,38
11/24/2019,48
12/1/2019,44
12/8/2019,43
12/15/2019,41
12/22/2019,43
12/29/2019,59
1/5/2020,99
1/12/2020,72
1/19/2020,81
1/26/2020,89
2/2/2020,76
2/9/2020,54
2/16/2020,77
2/23/2020,72
3/1/2020,71
3/8/2020,56
3/15/2020,30
3/22/2020,47
3/29/2020,67
4/5/2020,49
4/12/2020,50
4/19/2020,63
4/26/2020,54
5/3/2020,50
5/10/2020,30
5/17/2020,46
5/24/2020,78
5/31/2020,86
6/7/2020,90
6/14/2020,70
6/21/2020,77
6/28/2020,100
7/5/2020,91
7/12/2020,79
