Week,credito libre inversion: (Colombia)
7/19/2015,38
7/26/2015,52
8/2/2015,37
8/9/2015,39
8/16/2015,37
8/23/2015,40
8/30/2015,33
9/6/2015,29
9/13/2015,22
9/20/2015,27
9/27/2015,35
10/4/2015,44
10/11/2015,29
10/18/2015,39
10/25/2015,33
11/1/2015,41
11/8/2015,22
11/15/2015,19
11/22/2015,25
11/29/2015,29
12/6/2015,37
12/13/2015,36
12/20/2015,32
12/27/2015,21
1/3/2016,46
1/10/2016,46
1/17/2016,50
1/24/2016,43
1/31/2016,38
2/7/2016,34
2/14/2016,25
2/21/2016,26
2/28/2016,22
3/6/2016,36
3/13/2016,27
3/20/2016,8
3/27/2016,30
4/3/2016,41
4/10/2016,16
4/17/2016,24
4/24/2016,23
5/1/2016,27
5/8/2016,47
5/15/2016,26
5/22/2016,49
5/29/2016,20
6/5/2016,29
6/12/2016,36
6/19/2016,30
6/26/2016,28
7/3/2016,44
7/10/2016,38
7/17/2016,37
7/24/2016,33
7/31/2016,31
8/7/2016,38
8/14/2016,28
8/21/2016,37
8/28/2016,44
9/4/2016,20
9/11/2016,26
9/18/2016,52
9/25/2016,33
10/2/2016,35
10/9/2016,34
10/16/2016,32
10/23/2016,61
10/30/2016,51
11/6/2016,32
11/13/2016,42
11/20/2016,36
11/27/2016,28
12/4/2016,30
12/11/2016,35
12/18/2016,14
12/25/2016,21
1/1/2017,50
1/8/2017,29
1/15/2017,44
1/22/2017,72
1/29/2017,38
2/5/2017,55
2/12/2017,51
2/19/2017,42
2/26/2017,40
3/5/2017,41
3/12/2017,34
3/19/2017,45
3/26/2017,39
4/2/2017,41
4/9/2017,47
4/16/2017,40
4/23/2017,39
4/30/2017,47
5/7/2017,56
5/14/2017,44
5/21/2017,58
5/28/2017,47
6/4/2017,39
6/11/2017,35
6/18/2017,39
6/25/2017,31
7/2/2017,44
7/9/2017,42
7/16/2017,48
7/23/2017,47
7/30/2017,49
8/6/2017,58
8/13/2017,39
8/20/2017,41
8/27/2017,58
9/3/2017,43
9/10/2017,45
9/17/2017,29
9/24/2017,35
10/1/2017,44
10/8/2017,45
10/15/2017,45
10/22/2017,36
10/29/2017,48
11/5/2017,39
11/12/2017,47
11/19/2017,29
11/26/2017,44
12/3/2017,33
12/10/2017,29
12/17/2017,51
12/24/2017,15
12/31/2017,41
1/7/2018,54
1/14/2018,39
1/21/2018,49
1/28/2018,54
2/4/2018,39
2/11/2018,23
2/18/2018,52
2/25/2018,51
3/4/2018,57
3/11/2018,30
3/18/2018,32
3/25/2018,27
4/1/2018,28
4/8/2018,31
4/15/2018,49
4/22/2018,47
4/29/2018,43
5/6/2018,47
5/13/2018,43
5/20/2018,31
5/27/2018,39
6/3/2018,55
6/10/2018,43
6/17/2018,20
6/24/2018,38
7/1/2018,41
7/8/2018,52
7/15/2018,38
7/22/2018,45
7/29/2018,46
8/5/2018,59
8/12/2018,44
8/19/2018,40
8/26/2018,37
9/2/2018,43
9/9/2018,30
9/16/2018,53
9/23/2018,47
9/30/2018,46
10/7/2018,56
10/14/2018,58
10/21/2018,46
10/28/2018,69
11/4/2018,60
11/11/2018,39
11/18/2018,52
11/25/2018,54
12/2/2018,60
12/9/2018,46
12/16/2018,42
12/23/2018,19
12/30/2018,50
1/6/2019,60
1/13/2019,52
1/20/2019,61
1/27/2019,54
2/3/2019,41
2/10/2019,47
2/17/2019,45
2/24/2019,34
3/3/2019,45
3/10/2019,44
3/17/2019,44
3/24/2019,40
3/31/2019,54
4/7/2019,52
4/14/2019,60
4/21/2019,36
4/28/2019,52
5/5/2019,46
5/12/2019,47
5/19/2019,60
5/26/2019,38
6/2/2019,59
6/9/2019,46
6/16/2019,42
6/23/2019,68
6/30/2019,57
7/7/2019,49
7/14/2019,66
7/21/2019,73
7/28/2019,63
8/4/2019,47
8/11/2019,62
8/18/2019,58
8/25/2019,51
9/1/2019,46
9/8/2019,61
9/15/2019,33
9/22/2019,47
9/29/2019,55
10/6/2019,59
10/13/2019,54
10/20/2019,66
10/27/2019,50
11/3/2019,60
11/10/2019,65
11/17/2019,44
11/24/2019,55
12/1/2019,55
12/8/2019,41
12/15/2019,43
12/22/2019,37
12/29/2019,35
1/5/2020,60
1/12/2020,100
1/19/2020,60
1/26/2020,77
2/2/2020,52
2/9/2020,55
2/16/2020,70
2/23/2020,53
3/1/2020,65
3/8/2020,50
3/15/2020,40
3/22/2020,24
3/29/2020,24
4/5/2020,21
4/12/2020,23
4/19/2020,22
4/26/2020,29
5/3/2020,40
5/10/2020,32
5/17/2020,31
5/24/2020,28
5/31/2020,34
6/7/2020,35
6/14/2020,38
6/21/2020,32
6/28/2020,45
7/5/2020,57
7/12/2020,44
