Week,inversiones: (Colombia)
7/19/2015,53
7/26/2015,64
8/2/2015,55
8/9/2015,65
8/16/2015,67
8/23/2015,63
8/30/2015,62
9/6/2015,76
9/13/2015,73
9/20/2015,66
9/27/2015,55
10/4/2015,63
10/11/2015,60
10/18/2015,52
10/25/2015,62
11/1/2015,56
11/8/2015,53
11/15/2015,59
11/22/2015,58
11/29/2015,56
12/6/2015,49
12/13/2015,56
12/20/2015,47
12/27/2015,33
1/3/2016,51
1/10/2016,63
1/17/2016,49
1/24/2016,56
1/31/2016,57
2/7/2016,69
2/14/2016,61
2/21/2016,64
2/28/2016,75
3/6/2016,72
3/13/2016,57
3/20/2016,39
3/27/2016,78
4/3/2016,83
4/10/2016,66
4/17/2016,73
4/24/2016,82
5/1/2016,75
5/8/2016,64
5/15/2016,67
5/22/2016,77
5/29/2016,69
6/5/2016,48
6/12/2016,59
6/19/2016,67
6/26/2016,63
7/3/2016,45
7/10/2016,54
7/17/2016,61
7/24/2016,62
7/31/2016,64
8/7/2016,53
8/14/2016,51
8/21/2016,69
8/28/2016,66
9/4/2016,53
9/11/2016,66
9/18/2016,59
9/25/2016,79
10/2/2016,67
10/9/2016,65
10/16/2016,57
10/23/2016,71
10/30/2016,66
11/6/2016,53
11/13/2016,66
11/20/2016,73
11/27/2016,50
12/4/2016,55
12/11/2016,45
12/18/2016,47
12/25/2016,48
1/1/2017,49
1/8/2017,66
1/15/2017,52
1/22/2017,64
1/29/2017,62
2/5/2017,78
2/12/2017,59
2/19/2017,74
2/26/2017,71
3/5/2017,87
3/12/2017,74
3/19/2017,68
3/26/2017,71
4/2/2017,82
4/9/2017,49
4/16/2017,81
4/23/2017,75
4/30/2017,75
5/7/2017,100
5/14/2017,77
5/21/2017,64
5/28/2017,71
6/4/2017,78
6/11/2017,75
6/18/2017,53
6/25/2017,73
7/2/2017,70
7/9/2017,60
7/16/2017,65
7/23/2017,65
7/30/2017,74
8/6/2017,64
8/13/2017,66
8/20/2017,56
8/27/2017,64
9/3/2017,65
9/10/2017,68
9/17/2017,70
9/24/2017,61
10/1/2017,74
10/8/2017,70
10/15/2017,73
10/22/2017,71
10/29/2017,60
11/5/2017,60
11/12/2017,59
11/19/2017,64
11/26/2017,50
12/3/2017,64
12/10/2017,68
12/17/2017,67
12/24/2017,37
12/31/2017,50
1/7/2018,60
1/14/2018,54
1/21/2018,75
1/28/2018,52
2/4/2018,59
2/11/2018,67
2/18/2018,75
2/25/2018,69
3/4/2018,66
3/11/2018,76
3/18/2018,75
3/25/2018,58
4/1/2018,81
4/8/2018,71
4/15/2018,72
4/22/2018,72
4/29/2018,62
5/6/2018,68
5/13/2018,67
5/20/2018,68
5/27/2018,81
6/3/2018,53
6/10/2018,68
6/17/2018,65
6/24/2018,61
7/1/2018,55
7/8/2018,67
7/15/2018,60
7/22/2018,70
7/29/2018,67
8/5/2018,56
8/12/2018,67
8/19/2018,74
8/26/2018,59
9/2/2018,58
9/9/2018,67
9/16/2018,66
9/23/2018,70
9/30/2018,62
10/7/2018,76
10/14/2018,57
10/21/2018,61
10/28/2018,62
11/4/2018,56
11/11/2018,66
11/18/2018,73
11/25/2018,65
12/2/2018,60
12/9/2018,62
12/16/2018,50
12/23/2018,43
12/30/2018,37
1/6/2019,53
1/13/2019,57
1/20/2019,57
1/27/2019,58
2/3/2019,55
2/10/2019,75
2/17/2019,61
2/24/2019,67
3/3/2019,69
3/10/2019,68
3/17/2019,59
3/24/2019,70
3/31/2019,72
4/7/2019,70
4/14/2019,57
4/21/2019,70
4/28/2019,56
5/5/2019,75
5/12/2019,79
5/19/2019,73
5/26/2019,74
6/2/2019,64
6/9/2019,58
6/16/2019,65
6/23/2019,53
6/30/2019,56
7/7/2019,63
7/14/2019,55
7/21/2019,55
7/28/2019,58
8/4/2019,49
8/11/2019,78
8/18/2019,59
8/25/2019,76
9/1/2019,71
9/8/2019,70
9/15/2019,60
9/22/2019,64
9/29/2019,61
10/6/2019,65
10/13/2019,62
10/20/2019,63
10/27/2019,68
11/3/2019,66
11/10/2019,65
11/17/2019,57
11/24/2019,54
12/1/2019,53
12/8/2019,53
12/15/2019,58
12/22/2019,29
12/29/2019,34
1/5/2020,62
1/12/2020,72
1/19/2020,66
1/26/2020,68
2/2/2020,65
2/9/2020,66
2/16/2020,76
2/23/2020,73
3/1/2020,65
3/8/2020,71
3/15/2020,44
3/22/2020,40
3/29/2020,40
4/5/2020,35
4/12/2020,46
4/19/2020,58
4/26/2020,39
5/3/2020,40
5/10/2020,52
5/17/2020,52
5/24/2020,49
5/31/2020,54
6/7/2020,59
6/14/2020,58
6/21/2020,60
6/28/2020,64
7/5/2020,54
7/12/2020,57
