Week,tarjeta de credito: (Colombia)
7/19/2015,39
7/26/2015,34
8/2/2015,32
8/9/2015,38
8/16/2015,37
8/23/2015,32
8/30/2015,33
9/6/2015,47
9/13/2015,41
9/20/2015,42
9/27/2015,43
10/4/2015,38
10/11/2015,39
10/18/2015,45
10/25/2015,34
11/1/2015,41
11/8/2015,39
11/15/2015,47
11/22/2015,50
11/29/2015,48
12/6/2015,45
12/13/2015,47
12/20/2015,43
12/27/2015,42
1/3/2016,38
1/10/2016,37
1/17/2016,35
1/24/2016,32
1/31/2016,38
2/7/2016,31
2/14/2016,33
2/21/2016,31
2/28/2016,31
3/6/2016,28
3/13/2016,30
3/20/2016,32
3/27/2016,38
4/3/2016,35
4/10/2016,38
4/17/2016,33
4/24/2016,34
5/1/2016,35
5/8/2016,33
5/15/2016,41
5/22/2016,30
5/29/2016,34
6/5/2016,31
6/12/2016,41
6/19/2016,36
6/26/2016,44
7/3/2016,40
7/10/2016,37
7/17/2016,39
7/24/2016,38
7/31/2016,35
8/7/2016,33
8/14/2016,31
8/21/2016,35
8/28/2016,36
9/4/2016,38
9/11/2016,37
9/18/2016,31
9/25/2016,45
10/2/2016,37
10/9/2016,38
10/16/2016,37
10/23/2016,39
10/30/2016,35
11/6/2016,42
11/13/2016,42
11/20/2016,39
11/27/2016,44
12/4/2016,39
12/11/2016,44
12/18/2016,36
12/25/2016,41
1/1/2017,52
1/8/2017,47
1/15/2017,49
1/22/2017,43
1/29/2017,42
2/5/2017,39
2/12/2017,35
2/19/2017,38
2/26/2017,44
3/5/2017,39
3/12/2017,39
3/19/2017,35
3/26/2017,43
4/2/2017,49
4/9/2017,43
4/16/2017,49
4/23/2017,45
4/30/2017,46
5/7/2017,45
5/14/2017,42
5/21/2017,44
5/28/2017,44
6/4/2017,45
6/11/2017,43
6/18/2017,49
6/25/2017,46
7/2/2017,45
7/9/2017,47
7/16/2017,53
7/23/2017,46
7/30/2017,44
8/6/2017,35
8/13/2017,45
8/20/2017,44
8/27/2017,41
9/3/2017,44
9/10/2017,48
9/17/2017,46
9/24/2017,38
10/1/2017,44
10/8/2017,41
10/15/2017,42
10/22/2017,43
10/29/2017,41
11/5/2017,51
11/12/2017,45
11/19/2017,48
11/26/2017,47
12/3/2017,52
12/10/2017,48
12/17/2017,55
12/24/2017,46
12/31/2017,56
1/7/2018,51
1/14/2018,49
1/21/2018,48
1/28/2018,49
2/4/2018,54
2/11/2018,42
2/18/2018,43
2/25/2018,47
3/4/2018,45
3/11/2018,43
3/18/2018,46
3/25/2018,48
4/1/2018,51
4/8/2018,47
4/15/2018,45
4/22/2018,47
4/29/2018,50
5/6/2018,45
5/13/2018,51
5/20/2018,52
5/27/2018,44
6/3/2018,51
6/10/2018,54
6/17/2018,49
6/24/2018,46
7/1/2018,47
7/8/2018,53
7/15/2018,55
7/22/2018,52
7/29/2018,59
8/5/2018,57
8/12/2018,57
8/19/2018,49
8/26/2018,53
9/2/2018,55
9/9/2018,50
9/16/2018,55
9/23/2018,60
9/30/2018,59
10/7/2018,58
10/14/2018,49
10/21/2018,60
10/28/2018,59
11/4/2018,54
11/11/2018,58
11/18/2018,74
11/25/2018,63
12/2/2018,64
12/9/2018,63
12/16/2018,61
12/23/2018,59
12/30/2018,57
1/6/2019,69
1/13/2019,56
1/20/2019,61
1/27/2019,55
2/3/2019,50
2/10/2019,52
2/17/2019,51
2/24/2019,49
3/3/2019,50
3/10/2019,47
3/17/2019,51
3/24/2019,51
3/31/2019,62
4/7/2019,50
4/14/2019,65
4/21/2019,58
4/28/2019,68
5/5/2019,59
5/12/2019,60
5/19/2019,63
5/26/2019,58
6/2/2019,60
6/9/2019,68
6/16/2019,58
6/23/2019,69
6/30/2019,71
7/7/2019,65
7/14/2019,62
7/21/2019,54
7/28/2019,63
8/4/2019,65
8/11/2019,66
8/18/2019,65
8/25/2019,61
9/1/2019,59
9/8/2019,54
9/15/2019,62
9/22/2019,66
9/29/2019,71
10/6/2019,68
10/13/2019,67
10/20/2019,60
10/27/2019,61
11/3/2019,69
11/10/2019,65
11/17/2019,56
11/24/2019,69
12/1/2019,68
12/8/2019,60
12/15/2019,73
12/22/2019,58
12/29/2019,61
1/5/2020,75
1/12/2020,67
1/19/2020,69
1/26/2020,70
2/2/2020,60
2/9/2020,59
2/16/2020,61
2/23/2020,56
3/1/2020,64
3/8/2020,60
3/15/2020,53
3/22/2020,61
3/29/2020,100
4/5/2020,71
4/12/2020,75
4/19/2020,62
4/26/2020,60
5/3/2020,61
5/10/2020,49
5/17/2020,59
5/24/2020,47
5/31/2020,57
6/7/2020,60
6/14/2020,65
6/21/2020,55
6/28/2020,73
7/5/2020,58
7/12/2020,67
